uniprotID,Christiano_t1/2_(min)
P13586,612.30
P35177,612.10
P40513,612.10
Q07878,612.00
P54838,611.40
P39929,611.30
P40008,611.20
P39995,611.20
P34227,611.00
P53973,610.90
P39968,610.80
P08466,610.30
P53903,610.10
Q92325,609.90
P32521,609.70
Q12118,609.60
P36015,609.40
Q04336,609.20
P32454,609.00
P53114,609.00
Q04373,608.90
P38710,608.90
Q06137,608.80
P40019,608.60
P47068,608.50
Q05498,608.50
Q3E7X9,608.40
P32349,608.30
P38701,607.80
P32790,607.80
P47006,607.70
P05750,607.60
P0CX44,607.60
P32457,607.60
P53137,607.50
P40581,607.10
P19358,607.00
Q03161,606.80
P0CX28,606.60
P21827,606.50
Q07528,606.30
Q12406,606.20
P05739,606.10
P46990,606.10
P38315,606.00
P40064,605.70
P20449,605.60
P01094,605.60
P29547,605.50
P53072,605.50
P14120,605.30
P35691,605.30
P28272,605.20
Q06214,605.00
P26449,604.90
Q05931,604.90
P32502,604.70
P02406,604.60
Q02326,604.60
P07213,604.60
P32656,604.60
P36057,604.60
P32788,604.30
P33411,604.30
P32604,604.20
P54999,604.20
P29453,604.20
Q07657,604.00
P30665,603.90
P32495,603.90
Q12508,603.80
P38063,603.70
P38011,603.70
P20604,603.50
P41940,603.40
P40011,603.40
P38882,603.40
P38879,603.30
P00410,603.10
P42826,602.90
P39010,602.60
Q12387,602.60
P38698,602.50
P53604,602.50
P38694,602.00
P24583,601.80
P23643,601.70
P25087,601.60
P38374,601.50
P46944,601.40
P40531,601.30
P32366,601.30
P54000,601.30
Q12429,601.10
P38313,601.10
P25655,600.90
P53081,600.70
P22214,600.60
P20433,600.50
P38251,600.40
P47117,600.10
P48240,600.00
P39079,600.00
P43321,600.00
P32263,599.80
P20434,599.60
P43601,599.60
P38748,599.60
P38627,599.50
P37267,599.50
P33760,599.50
P36008,599.40
P18898,599.30
P20049,599.30
Q08641,599.30
P16603,599.20
Q08601,599.20
Q08645,599.20
Q06688,599.00
P54074,599.00
Q03690,599.00
P02994,598.90
P33767,598.80
P47141,598.70
Q06107,598.50
P09624,598.50
P39742,598.30
P06367,598.10
Q04439,598.10
Q08412,597.90
P53859,597.70
Q03713,597.60
P35732,597.50
Q03407,597.40
Q3E795,597.40
Q12143,597.00
P25339,597.00
P26786,596.70
P40099,596.60
P12612,596.60
P38687,596.50
P32527,596.40
P40009,596.30
P01097,596.20
Q06263,595.90
Q03579,595.80
Q01722,595.60
P22213,595.60
P04449,595.60
P53914,595.60
Q12273,595.60
P38795,595.50
Q12672,595.50
Q12265,595.20
Q01560,595.10
P39744,595.00
P38061,595.00
P17157,594.90
Q12009,594.80
P38205,594.60
P07261,594.50
P32916,594.10
P32324,593.30
P28707,593.20
P32642,593.20
P38329,593.10
P53111,593.10
P48567,593.00
Q04183,592.80
P36517,592.60
Q12466,592.50
P38080,592.40
P40318,592.30
P16661,592.30
P38792,592.20
Q12403,592.20
P38225,592.10
P35196,592.10
P39743,592.00
P53875,592.00
P46971,592.00
P06701,591.90
P04801,591.90
Q12030,591.80
P0CX36,591.70
P43609,591.60
P07560,591.50
P25378,591.50
Q08162,591.50
P33201,591.40
P21825,591.10
P0CX85,591.10
P25635,591.00
P26785,590.80
P12754,590.80
P56628,590.80
P32794,590.70
Q08723,590.60
P38825,590.60
P33297,590.60
P19146,590.30
Q06142,590.30
P53900,590.20
P10664,590.20
P40094,590.20
P22696,589.90
Q08686,589.90
P32565,589.90
P40509,589.60
P07280,589.50
Q12153,589.30
P38426,589.20
P38122,589.10
P34228,589.00
P05748,589.00
Q02206,588.70
Q04673,588.60
P33324,588.60
P38788,588.30
P07260,588.10
P40498,588.00
P53946,587.80
P17214,587.80
P17891,587.70
Q12754,587.60
P25359,587.50
P38174,587.40
P38756,587.40
P53952,587.40
P25631,587.20
P23615,587.10
P32855,587.10
Q06321,586.70
Q02821,586.70
Q12404,586.70
Q12450,586.60
Q86ZR7,586.50
P38822,586.50
P04803,586.40
P00812,586.40
Q01802,586.30
P0CX40,586.10
Q04869,586.10
Q99297,586.00
P53741,585.90
P41056,585.80
P53256,585.70
Q07845,585.70
P53107,585.70
Q04533,585.60
Q05635,585.60
P40098,585.60
Q08225,585.60
P48589,585.50
P04456,585.30
Q06672,585.20
P40202,585.00
P25847,584.90
Q03254,584.90
P32469,584.80
P53912,584.60
Q02888,584.60
P32629,584.60
P04046,584.30
P40477,584.20
Q12033,584.10
Q12496,583.80
Q03290,583.80
P32494,583.70
P0CX46,583.60
P38281,583.50
O14455,583.00
P20459,582.90
P38782,582.90
P38089,582.80
P31688,582.70
P29478,582.60
P25569,582.30
P38817,581.80
Q03264,581.80
P33401,581.70
P40016,581.60
P36105,581.50
Q07951,581.40
P08018,581.30
P38276,581.30
P33442,580.70
P38187,580.70
P48015,580.50
Q05676,580.40
Q12234,580.30
Q3E754,580.30
P48582,580.10
P15646,580.10
P40413,580.10
P32471,580.00
P34167,579.90
P38555,579.90
Q04947,579.80
Q12524,579.80
Q06833,579.60
P54113,579.50
P05744,579.50
Q07688,579.40
P40046,579.20
P05453,578.70
P11484,578.60
P18888,578.50
P38985,578.50
P48363,578.50
P25343,578.40
Q04493,578.30
P33309,578.30
P07884-2,578.30
P04147,578.20
Q05468,578.10
P0CX50,578.10
P39993,578.10
P32873,578.00
Q05583,577.90
P05737,577.80
Q12306,577.70
P53730,577.50
Q01454,577.50
P42942,577.30
Q06489,577.30
P16140,577.10
P38260,577.10
P09064,576.50
P46957,576.40
Q02776,576.30
Q04660,576.20
Q05359,576.20
Q08220,576.10
P27697,576.00
P45978,575.90
P29703,575.90
P38742,575.70
P26784,575.60
P48164,575.60
Q02486,575.60
P34110,575.50
P06704,575.40
P47104,575.20
Q12431,575.20
P32939,575.10
P23638,575.10
P14127,575.00
P40573,574.90
P52491,574.90
Q12499,574.80
Q06677,574.70
P40340,574.50
P02400,574.50
P48836,574.40
P32857,574.20
P40217,574.20
Q12402,574.10
P07703,574.00
P07244,574.00
P0C0T4,573.90
P53011,573.80
P38862,573.60
P40994,573.50
P53044,573.40
P50623,573.30
P26570,573.10
P14908,572.90
Q08285,572.80
P50079,572.70
P40005,572.60
P42838,572.60
P46670,572.60
Q12305,572.40
P33307,572.20
P38216,572.10
P53195,572.00
P28274,571.80
P53139,571.60
Q05515,571.50
P38764,571.50
Q06385,571.40
P32832,571.20
P40024,571.10
P39011,571.00
P14747,570.90
P19524,570.90
P53169,570.90
Q03195,570.80
P46682,570.70
Q04792,570.70
P40484,570.60
P25345,570.20
P39730,570.20
O13585,570.20
P17883,570.10
P53082,570.10
Q03088,569.60
P40459,569.60
P40091,569.60
Q12123,569.50
P46951,569.50
P53191,569.50
P22224,569.40
P25373,569.10
P53128,568.90
P32316,568.90
P28625,568.80
P07273,568.70
P53141,568.60
P32854,568.50
P08678,568.10
P17898,567.90
P39990,567.90
P40825-2,567.80
P41903,567.80
P07347,567.70
P47013,567.70
P38781,567.60
P38635,567.50
P32634,567.50
P49166,567.40
Q03508,567.40
Q03028,567.40
Q04781,567.30
Q04311,567.20
P43586,566.90
Q03774,566.80
P25632,566.40
Q03406,566.30
Q06892,566.30
P40089,566.30
P39531,566.20
P32356,566.20
Q12080,566.10
Q99257,566.10
P39718,566.00
P22203,565.90
P80967,565.80
P40991,565.70
P35207,565.60
P50875,565.50
P24000,565.00
P38203,565.00
Q04418,564.80
P38626,564.80
P47139,564.80
P40540,564.50
P32473,564.50
Q12220,564.40
P47089,564.40
Q04225,564.40
Q06344,564.20
P51402,564.10
P19881,563.90
P39012,563.80
Q12099,563.70
P25694,563.70
P38688,563.60
P40327,563.60
P25361,563.60
P53327,563.50
Q12018,563.50
P32331,563.40
P39523,563.30
P07263-2,563.20
P48526,563.10
P33313,563.00
P32458,563.00
P38307,562.90
P40890,562.90
Q06629,562.90
Q02554,562.50
P32660,562.10
P21269-2,561.90
P47137,561.80
P54787,561.80
Q99260,561.80
P36103,561.60
P38623,561.60
P08417,561.40
P49775,561.20
P40416,561.00
P54783,560.90
P32599,560.80
Q05779,560.70
Q12395,560.60
Q05775,560.60
P43638,560.40
Q04437,560.00
Q04600,559.70
P42846,559.70
P34223,559.70
Q03750,559.70
P40069,559.40
P47122,559.20
Q06706,559.20
P40081,558.90
P38797,558.80
Q12276,558.70
Q06336,558.60
P54837,558.60
P35180,558.60
P11655,558.50
Q00246,558.50
P41734,558.50
P09880,558.40
P38719,558.20
P46959,557.90
Q10740,557.80
P25644,557.70
Q01329,557.50
P02992,557.30
P39015,557.10
P17076,557.10
Q06506,557.00
Q9URQ5,556.90
P38803,556.90
P53974,556.60
Q12114,556.40
P38861,556.40
P36101,556.30
Q04935,556.20
P34221,556.00
Q03525,556.00
P17649,555.40
P15891,555.40
Q99287,555.30
P38779,555.20
Q01852,555.00
Q03497,554.80
Q06436,554.70
P53337,554.60
P20052,554.50
P38972,554.50
P39101,554.20
P40969,554.10
Q12746,554.10
P53131,554.00
P43593,554.00
Q06493,553.90
P38828,553.90
P38682,553.30
P14126,553.30
Q12211,553.20
Q99383,553.10
P40957,553.00
P38198,552.80
Q06678,552.40
P53538,552.40
P23644,552.30
P53550,552.20
Q04341,552.20
P32505,551.90
P21954,551.90
Q12164,551.70
P53847,551.60
P40161,551.50
P38234,551.40
P42842,551.40
P40037,551.40
P32328,551.30
Q06639,551.30
P0C2H6,551.30
P38272,551.30
P38523,551.30
Q02948,551.30
P39926,551.20
Q12179,551.00
P47037,551.00
Q08689,550.90
P06782,550.90
P32569,550.70
P39931,550.70
P47120,550.60
P38439,550.60
Q12314,550.60
P17442,550.50
P25040,550.50
Q06339,550.20
P38875,550.10
